1 6.882845e-001 1.003138e+000 1.005737e+000
2 3.963012e-002 1.468956e+000 1.621357e+000
3 1.820941e-002 1.728376e+000 1.874273e+000
4 1.065719e-002 2.088810e+000 2.204468e+000
5 4.866180e-003 2.260341e+000 2.350648e+000
6 0.000000e+000 2.378049e+000 2.449490e+000
7 0.000000e+000 2.454874e+000 2.516372e+000
8 0.000000e+000 2.519380e+000 2.574472e+000
9 0.000000e+000 2.601594e+000 2.647257e+000
10 0.000000e+000 2.672131e+000 2.713053e+000
11 0.000000e+000 2.729958e+000 2.765825e+000
12 0.000000e+000 2.782609e+000 2.813013e+000
13 0.000000e+000 2.830357e+000 2.855133e+000
14 0.000000e+000 2.862385e+000 2.883041e+000
15 0.000000e+000 2.886792e+000 2.904128e+000
16 0.000000e+000 2.902913e+000 2.917972e+000
17 0.000000e+000 2.920000e+000 2.932576e+000
18 0.000000e+000 2.938144e+000 2.948003e+000
19 0.000000e+000 2.957447e+000 2.964327e+000
20 0.000000e+000 2.978261e+000 2.981829e+000
