1 8.474923e-001 5.195128e-004 9.471935e-004
2 1.243523e-002 3.401326e-003 4.276048e-003
3 0.000000e+000 4.700279e-003 5.843282e-003
4 0.000000e+000 5.595421e-003 6.864630e-003
5 0.000000e+000 6.225233e-003 7.565478e-003
6 0.000000e+000 6.708463e-003 8.063316e-003
7 0.000000e+000 7.149352e-003 8.516686e-003
8 0.000000e+000 7.453320e-003 8.836570e-003
9 0.000000e+000 7.682667e-003 9.074221e-003
10 0.000000e+000 7.887498e-003 9.291570e-003
11 0.000000e+000 8.025262e-003 9.419887e-003
12 0.000000e+000 8.167955e-003 9.558436e-003
13 0.000000e+000 8.313374e-003 9.705861e-003
14 0.000000e+000 8.482385e-003 9.886099e-003
15 0.000000e+000 8.594372e-003 9.999526e-003
16 0.000000e+000 8.708251e-003 1.012213e-002
17 0.000000e+000 8.792174e-003 1.021499e-002
18 0.000000e+000 8.849711e-003 1.027773e-002
19 0.000000e+000 8.897453e-003 1.032970e-002
20 0.000000e+000 8.936255e-003 1.037092e-002
